country,region,pop_women,par_women,rep_women,rep_u40,total_seats,placement_id,x,y,rotation
Switzerland,Europe,50.4543006455289,32.5,0.644147269592172,0.2824634239334301,200,22,440.33901299536944,392.96202107199383,4.175011289639067
Thailand,Asia,51.2368017023559,5.28,0.10305092871862888,0,250,99,1600.6117909317986,324.2377047224028,5.249766671130312
FYR Macedonia,Europe,50.0072725806428,38.33,0.7664885130095471,0.53796002552003,123,47,792.048453241757,340.427941251349,4.505705253174835
Timor-Leste,Asia,49.2182009635078,33.85,0.6877537036572638,0.12681644392974867,65,101,1518.7101830774623,461.6863374215844,5.249766671130312
Trinidad and Tobago,America,50.7371517930117,30.95,0.6100066500828474,0.1148922048016892,42,7,138.2676828520789,314.7489202499926,4.0096643078711836
Tunisia,Africa,50.5978429302628,31.34,0.6193939935976086,0.3470841094855627,217,75,1240.7860015095443,183.8332459989722,4.919072707594545
Uganda,Africa,50.2581168283895,34.3,0.6824768249299946,0.3958295694810199,465,83,1289.1407072390928,360.9878289587051,5.001746198478486
United Arab Emirates,Middle East,27.5963894193178,22.5,0.8153240504806667,0.24447041782072088,40,87,1426.5160187948932,239.12746786956723,5.084419689362428
United Kingdom,Europe,50.6587663221005,32.15,0.6346384314924419,0.3827811645809377,650,31,515.3227059148938,90.07289378136284,4.340358271406951
Tanzania,Africa,50.5462204023813,37.18,0.7355643944101585,0.19452958750066568,393,89,1368.3547435046805,388.18204195777184,5.084419689362428
United States of America,America,50.5044272586923,23.5,0.46530574200216124,0.16487394107088005,435,2,113.7595009128604,445.95384542926183,3.9269908169872414
Uruguay,America,51.6919539578152,20.2,0.3907764836377597,0.5154671544314423,99,18,457.6616389581907,572.6022083975531,4.092337798755125
Venezuela,America,50.2611230729823,22.16,0.4408974301633151,0.22051717836596782,167,15,318.2032032617253,377.27851625270637,4.092337798755125
Viet Nam,Asia,50.5149176943803,26.72,0.5289526583346795,0.12574603263234654,500,100,1559.6609870046304,392.9620210719936,5.249766671130312
Zambia,Africa,50.3793056890647,17.96,0.35649558393771963,0.17845745618999467,167,90,1339.2741058595743,462.70932900187427,5.084419689362428
Zimbabwe,Africa,51.2940793706047,31.48,0.6137160542945697,0.24061594600518527,270,84,1266.3138092991644,437.6620275553653,5.001746198478486
